id,functional_area,user_goal,surface,api_or_command,ui_routes,storage_or_external,existing_test_evidence,planned_automation,priority,current_state
SCORE-001,Normalização e scoring,Produzir assessment elegível,runtime/API,run audit; diagnostics,/risk; /runs,projection.accepted_reading_log; projection.risk_assessment_log; projection.daily_cell_state,tests/NatureProtector.Prevention.Tests/Risk; tests/NatureProtector.IntegrationTests/Flow; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Uma avaliação por leitura elegível e nenhuma para falhas,P0,p0-profile-invariants-implemented-unexecuted
PROJ-001,Projeções operacionais,Materializar estado de célula/área,API/UI,GET .../operational-state; cells/operational-state,/risk; /dashboard,projection.cell_operational_state; projection.area_operational_state; cycle snapshots,tests/NatureProtector.Prevention.Host.Tests/Projection; PostgresControlPlaneServiceTests.cs; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Coverage/freshness/carry-forward coerentes,P0,p0-cycle-observation-harness-implemented-unexecuted
ALERT-001,Alertas,Abrir/manter/resolver alerta,API/UI,GET .../alerts/active; diagnostics active-alerts/recent-alert-transitions,/risk; /dashboard,projection.alert_state,tests/NatureProtector.Prevention.Host.Tests/Projection/V1AlertPolicyTests.cs; InMemoryAreaOperationalProjectionStoreAlertPolicyTests.cs; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Implemented in Phase 3 P0 runtime harness; live campaign still required,P0,p0-alert-harness-implemented-unexecuted
DEG-001,Perfis de degradação,Provar efeitos semânticos,runtime,POST runtime/runs com degradationProfiles,/simulation; /scenario-compare,control.simulation_runs metadata; pipeline; projection,tests/NatureProtector.Simulator.Host.Tests/Services/SimulationDegradationProfilesTests.cs; ReadingGenerationServiceTests.cs; SimulationRunnerTests.cs; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Implemented in Phase 3 P0 runtime harness; live campaign still required,P0,p0-12-profile-matrix-implemented-unexecuted
DIAG-001,Diagnósticos preparados,Executar catálogo fechado,API/UI,GET/POST /api/control/runtime/diagnostics*,/queries,control; pipeline; projection,tests/NatureProtector.Backoffice.Api.Tests/PostgresControlPlaneServiceTests.cs; ControlPlaneApiTests.cs; webUI/src/app/pages/evidenceDiagnosticPages.test.tsx; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Implemented in Phase 3 P0 runtime harness; live campaign still required,P0,p0-28-diagnostic-sweep-implemented-unexecuted
OBS-001,"Health, RabbitMQ e evidence",Observar serviços e artefactos,API/UI,/health/*; /api/control/runtime/observability/*,/pipeline; /evidence; /deployment-health,RabbitMQ Management; evidence directories,tests/NatureProtector.Backoffice.Api.Tests/RuntimeObservabilityServiceTests.cs; ControlRuntimeObservabilityControllerTests.cs; RabbitMqManagementHttpClientTests.cs; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Implemented in Phase 3 P0 runtime harness; live campaign still required,P0,p0-observability-evidence-harness-implemented-unexecuted
TSDB-001,InfluxDB e Grafana,Confirmar séries e dashboards,runtime/UI,Influx write service; Influx/Grafana HTTP,Grafana externa,InfluxDB measurements accepted_readings; risk_assessments; area_risk_snapshots,tests/NatureProtector.Infrastructure.Influx.Tests; tests/observability/test_grafana_dashboards.py; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Contagem/série por run e datasource/dashboard acessível,P1,p0-run-scoped-series-implemented-unexecuted
UI-001,Jornada pública,Usar produto sem login,UI,rotas públicas e APIs anónimas,/demo; /dashboard; /context; /about,n/a,webUI/e2e/cockpit.spec.ts; webUI/src/app/App.test.tsx; webUI/e2e/live-role-journeys.spec.ts; scripts/acceptance/Invoke-NP-UiPerformanceCoverage.ps1,Fixture desktop+narrow and live public /demo with axe and protected-surface absence,P0,phase4-ui-harness-implemented-unexecuted
UI-002,Jornadas por role,Navegação capability-driven,UI/API,page registry + capability endpoint,todas as rotas protegidas,n/a,webUI/src/app/App.test.tsx; capabilities.test.ts; e2e/cockpit.spec.ts; webUI/e2e/live-role-journeys.spec.ts; config/acceptance/ui-performance-coverage.json,"Real temporary identities, backend capabilities, allowed route, denied route and critical axe per role",P0,phase4-live-role-harness-implemented-unexecuted
UI-003,Cockpit de run,"Executar, seguir e comparar",UI/API,runtime API + diagnostics,/simulation; /runs; /scenario-compare; /queries,control; pipeline; projection,webUI/e2e/live-runtime.spec.ts; pages/SimulationPage.test.tsx; RunsPage.test.tsx,Jornada live com run atual e propagação de runId,P0,partial-live
OPS-001,Qualidade,Despachar suites fechadas,API/UI,/api/control/quality/*; /api/control/operations*,/qa; /admin,operation store/provider callbacks,tests/NatureProtector.Backoffice.Api.Tests/OperationCatalogTests.cs; EngineeringOperationsServiceTests.cs; tests/operations,Operações implementadas executam; bloqueadas falham fechado,P1,unit-static-covered-remote-dependent
OPS-002,Evidence campaigns,Despachar e comparar campanhas,API/UI,/api/control/evidence/*,/evidence,operation store; artifacts/hashes,tests/NatureProtector.Backoffice.Api.Tests/ControlOperationControllersTests.cs; tests/evidence,"Proveniência, hashes, comparação e limitações",P1,covered-runtime-dependent
OPS-003,Deployment e cloud,Operar catálogo seguro,API/UI,/api/control/deployments/*; /api/control/cloud/*,/deployments; /cloud; /deployment-health,operation store; GitHub/cloud providers,OperationCatalogTests.cs; CloudRunGatewayContractTests.cs; tests/cloud,Sem comandos arbitrários; bloqueios e approvals respeitados,P2,static-covered-external-dependent
OPS-004,Aprovação/cancel/callback,Controlar lifecycle de operação,API/UI,/api/control/approvals*; operations/{id}/cancel; callback,/approvals,operation store,EngineeringOperationsServiceTests.cs; ControlOperationControllersTests.cs; tests/operations/test_operation_callback_reporter.py,"Segredo callback, separação de poderes e estados válidos",P1,covered-not-live-full
RESET-001,Reset e recuperação,Limpar runtime preservando catálogo,API/script,POST /api/control/runtime/reset; Invoke-SystemResetRecoveryMatrix.ps1,/admin (contexto; sem reset destrutivo direto),control runtime; pipeline; projection; RabbitMQ; InfluxDB,RuntimeDataResetCoordinatorTests.cs; RuntimeResetLockTests.cs,"Dry-run, bloqueios, reset sistémico e run pós-reset",P0,unit-covered-unified-runner
P3-001,Validação negativa P3,Executar falhas controladas,API/script,/api/dev/controlled-validation/p3*; run-controlled-validation-p3.py,/p3,pipeline; projection; evidence/query pack,Simulator.Host ControlledValidation tests; Prevention processing tests,Auditar todos os casos por identidade,P0,covered-unified-runner
PERF-001,Readiness/capacidade local,Medir workload bounded,script/API,scripts/performance/run-local-readiness-workload.ps1; run-system-capacity-workload.ps1,/deployment-health,artifacts/performance; runtime timings; RabbitMQ metrics,tests/performance; benchmarks; scripts/acceptance/Invoke-NP-UiPerformanceCoverage.ps1; scripts/acceptance/verify_ui_performance_coverage.py,"HTTP Calibration+B0 and full-system Calibration+B0 with exact accounting, bounded p95 and empty final queue",P1,phase4-bounded-performance-harness-implemented-unexecuted
SHUT-001,Encerramento limpo,Parar processos e containers scoped,CLI/runtime,np.ps1 stop; down; process inspection,-,processos locais; Docker Compose,LocalProcessRuntimeRunOrchestratorTests.cs; local clone-to-run tests; scripts/acceptance/Invoke-NP-P0RuntimeCoverage.ps1; scripts/acceptance/verify_scenario_profile_matrix.py,Implemented in Phase 3 P0 runtime harness; live campaign still required,P0,p0-clean-shutdown-harness-implemented-unexecuted
